Time,Step,J1_Pos,J2_Pos,J3_Pos,J4_Pos,J5_Pos,J6_Pos,Q_Err,DQ_Norm,Reached
0.054000,1,0.184800,-0.184800,90.267190,0.346500,89.653521,0.392700,112.132541,25.947344,0
0.055000,1,0.191520,-0.191520,90.276465,0.359100,89.640939,0.406980,112.108178,26.406710,0
0.056000,1,0.198360,-0.198360,90.285878,0.371925,89.628140,0.421515,112.083389,26.865038,0
0.057000,1,0.205320,-0.205320,90.295428,0.384975,89.615126,0.436305,112.058173,27.322335,0
0.058000,1,0.212400,-0.212400,90.305116,0.398250,89.601898,0.451350,112.032531,27.778607,0
0.059000,1,0.219600,-0.219600,90.314939,0.411750,89.588458,0.466650,112.006463,28.233861,0
0.060000,1,0.226920,-0.226920,90.324896,0.425475,89.574807,0.482205,111.979970,28.688105,0
0.061000,1,0.234360,-0.234360,90.334988,0.439425,89.560946,0.498015,111.953054,29.141345,0
0.062000,1,0.241920,-0.241920,90.345212,0.453600,89.546878,0.514080,111.925714,29.593589,0
0.063000,1,0.249600,-0.249600,90.355568,0.468000,89.532603,0.530400,111.897950,30.044843,0
0.064000,1,0.257400,-0.257400,90.366055,0.482625,89.518123,0.546975,111.869765,30.495114,0
0.065000,1,0.265320,-0.265320,90.376672,0.497475,89.503439,0.563805,111.841157,30.944410,0
0.066000,1,0.273360,-0.273360,90.387418,0.512550,89.488553,0.580890,111.812128,31.392738,0
0.067000,1,0.281520,-0.281520,90.398293,0.527850,89.473466,0.598230,111.782679,31.840106,0
0.068000,1,0.289800,-0.289800,90.409294,0.543375,89.458181,0.615825,111.752809,32.286519,0
0.069000,1,0.298200,-0.298200,90.420422,0.559125,89.442697,0.633675,111.722520,32.731986,0
0.070000,1,0.306720,-0.306720,90.431675,0.575100,89.427016,0.651780,111.691812,33.176513,0
0.071000,1,0.315360,-0.315360,90.443053,0.591300,89.411141,0.670140,111.660686,33.620108,0
0.072000,1,0.324120,-0.324120,90.454555,0.607725,89.395072,0.688755,111.629142,34.062779,0
0.073000,1,0.333000,-0.333000,90.466179,0.624375,89.378811,0.707625,111.597181,34.504531,0
0.074000,1,0.342000,-0.342000,90.477925,0.641250,89.362358,0.726750,111.564803,34.945374,0
0.075000,1,0.351120,-0.351120,90.489792,0.658350,89.345716,0.746130,111.532009,35.385312,0
0.076000,1,0.360360,-0.360360,90.501779,0.675675,89.328886,0.765765,111.498800,35.824355,0
0.077000,1,0.369720,-0.369720,90.513885,0.693225,89.311869,0.785655,111.465176,36.262508,0
0.078000,1,0.379200,-0.379200,90.526109,0.711000,89.294667,0.805800,111.431137,36.699780,0
