Time,Step,J1,J2,J3,J4,J5,J6,Q_Error,Exec_us,Reached
0.0560,1,0.0000,0.0000,0.2924,0.0000,0.0000,0.0000,89.7076,0.2190,0
0.0570,1,0.0000,0.0000,0.3028,0.0000,0.0000,0.0000,89.6972,0.2150,0
0.0580,1,0.0000,0.0000,0.3133,0.0000,0.0000,0.0000,89.6867,0.2180,0
0.0590,1,0.0000,0.0000,0.3240,0.0000,0.0000,0.0000,89.6760,0.2150,0
0.0600,1,0.0000,0.0000,0.3349,0.0000,0.0000,0.0000,89.6651,0.2160,0
0.0610,1,0.0000,0.0000,0.3460,0.0000,0.0000,0.0000,89.6540,0.2170,0
0.0620,1,0.0000,0.0000,0.3572,0.0000,0.0000,0.0000,89.6428,0.2190,0
0.0630,1,0.0000,0.0000,0.3686,0.0000,0.0000,0.0000,89.6314,0.2150,0
0.0640,1,0.0000,0.0000,0.3803,0.0000,0.0000,0.0000,89.6197,0.2190,0
0.0650,1,0.0000,0.0000,0.3920,0.0000,0.0000,0.0000,89.6080,0.2240,0
0.0660,1,0.0000,0.0000,0.4040,0.0000,0.0000,0.0000,89.5960,0.2180,0
0.0670,1,0.0000,0.0000,0.4162,0.0000,0.0000,0.0000,89.5838,0.2180,0
0.0680,1,0.0000,0.0000,0.4285,0.0000,0.0000,0.0000,89.5715,0.2200,0
0.0690,1,0.0000,0.0000,0.4410,0.0000,0.0000,0.0000,89.5590,0.2200,0
0.0700,1,0.0000,0.0000,0.4537,0.0000,0.0000,0.0000,89.5463,0.2190,0
0.0710,1,0.0000,0.0000,0.4666,0.0000,0.0000,0.0000,89.5334,0.2180,0
0.0720,1,0.0000,0.0000,0.4796,0.0000,0.0000,0.0000,89.5204,0.2180,0
0.0730,1,0.0000,0.0000,0.4928,0.0000,0.0000,0.0000,89.5072,0.2150,0
0.0740,1,0.0000,0.0000,0.5063,0.0000,0.0000,0.0000,89.4938,0.2120,0
0.0750,1,0.0000,0.0000,0.5198,0.0000,0.0000,0.0000,89.4802,0.2150,0
0.0760,1,0.0000,0.0000,0.5336,0.0000,0.0000,0.0000,89.4664,0.2180,0
0.0770,1,0.0000,0.0000,0.5476,0.0000,0.0000,0.0000,89.4524,0.2190,0
0.0780,1,0.0000,0.0000,0.5617,0.0000,0.0000,0.0000,89.4383,0.2120,0
0.0790,1,0.0000,0.0000,0.5760,0.0000,0.0000,0.0000,89.4240,0.2150,0
0.0800,1,0.0000,0.0000,0.5905,0.0000,0.0000,0.0000,89.4095,0.2160,0
0.0810,1,0.0000,0.0000,0.6052,0.0000,0.0000,0.0000,89.3948,0.2160,0
0.0820,1,0.0000,0.0000,0.6200,0.0000,0.0000,0.0000,89.3800,0.2180,0
0.0830,1,0.0000,0.0000,0.6350,0.0000,0.0000,0.0000,89.3650,0.2150,0
0.0840,1,0.0000,0.0000,0.6503,0.0000,0.0000,0.0000,89.3498,0.2170,0
0.0850,1,0.0000,0.0000,0.6656,0.0000,0.0000,0.0000,89.3344,0.2180,0
0.0860,1,0.0000,0.0000,0.6812,0.0000,0.0000,0.0000,89.3188,0.2150,0
0.0870,1,0.0000,0.0000,0.6970,0.0000,0.0000,0.0000,89.3030,0.2160,0
0.0880,1,0.0000,0.0000,0.7129,0.0000,0.0000,0.0000,89.2871,0.2180,0
0.0890,1,0.0000,0.0000,0.7290,0.0000,0.0000,0.0000,89.2710,0.2190,0
0.0900,1,0.0000,0.0000,0.7453,0.0000,0.0000,0.0000,89.2547,0.2170,0
0.0910,1,0.0000,0.0000,0.7618,0.0000,0.0000,0.0000,89.2382,0.2170,0
0.0920,1,0.0000,0.0000,0.7784,0.0000,0.0000,0.0000,89.2216,0.2190,0
0.0930,1,0.0000,0.0000,0.7952,0.0000,0.0000,0.0000,89.2048,0.2180,0
0.0940,1,0.0000,0.0000,0.8123,0.0000,0.0000,0.0000,89.1877,0.2150,0
0.0950,1,0.0000,0.0000,0.8294,0.0000,0.0000,0.0000,89.1706,0.2150,0
