time,q1,q2,q3,q4,q5,q6,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6
0.0190,0.000000,-0.145029,0.435087,-0.290058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.089603,0.034500,0.765991,0.070275,0.034500,1.301640,0.070275,0.034500,1.301640,0.104882,0.034500,1.417586
0.0200,0.000000,-0.156107,0.468321,-0.312214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.096394,0.034500,0.764961,0.075312,0.034500,1.296936,0.075312,0.034500,1.296936,0.112479,0.034500,1.412087
0.0210,0.000000,-0.167185,0.501554,-0.334369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.103172,0.034500,0.763855,0.080277,0.034500,1.291897,0.080277,0.034500,1.291897,0.119986,0.034500,1.406195
0.0220,0.000000,-0.178263,0.534788,-0.356525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.109938,0.034500,0.762675,0.085164,0.034500,1.286522,0.085164,0.034500,1.286522,0.127395,0.034500,1.399913
0.0230,0.000000,-0.189340,0.568021,-0.378681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.116691,0.034500,0.761420,0.089969,0.034500,1.280816,0.089969,0.034500,1.280816,0.134702,0.034500,1.393244
0.0240,0.000000,-0.200418,0.601255,-0.400836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.123429,0.034500,0.760090,0.094686,0.034500,1.274781,0.094686,0.034500,1.274781,0.141899,0.034500,1.386189
0.0250,0.000000,-0.211496,0.634488,-0.422992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.130152,0.034500,0.758685,0.099312,0.034500,1.268418,0.099312,0.034500,1.268418,0.148982,0.034500,1.378753
0.0260,0.000000,-0.222574,0.667722,-0.445148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.136859,0.034500,0.757206,0.103841,0.034500,1.261730,0.103841,0.034500,1.261730,0.155943,0.034500,1.370938
0.0270,0.000000,-0.233652,0.700955,-0.467303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.143550,0.034500,0.755653,0.108269,0.034500,1.254721,0.108269,0.034500,1.254721,0.162777,0.034500,1.362748
0.0280,0.000000,-0.244730,0.734189,-0.489459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152500,0.000000,0.034500,0.152500,-0.150222,0.034500,0.754026,0.112591,0.034500,1.247392,0.112591,0.034500,1.247392,0.169479,0.034500,1.354185
