Time,Desired_Q,Desired_DQ,Desired_DDQ
0.186,2.10936,22.44,120
0.187,2.13192,22.56,120
0.188,2.1546,22.68,120
0.189,2.1774,22.8,120
0.19,2.20032,22.92,120
0.191,2.22336,23.04,120
0.192,2.24652,23.16,120
0.193,2.2698,23.28,120
0.194,2.2932,23.4,120
0.195,2.31672,23.52,120
0.196,2.34036,23.64,120
0.197,2.36412,23.76,120
0.198,2.388,23.88,120
0.199,2.412,24,120
0.2,2.43612,24.12,120
0.201,2.46036,24.24,120
0.202,2.48472,24.36,120
0.203,2.5092,24.48,120
0.204,2.5338,24.6,120
0.205,2.55852,24.72,120
0.206,2.58336,24.84,120
0.207,2.60832,24.96,120
0.208,2.6334,25.08,120
0.209,2.6586,25.2,120
0.21,2.68392,25.32,120
0.211,2.70936,25.44,120
0.212,2.73492,25.56,120
0.213,2.7606,25.68,120
0.214,2.7864,25.8,120
0.215,2.81232,25.92,120
0.216,2.83836,26.04,120
0.217,2.86452,26.16,120
0.218,2.8908,26.28,120
0.219,2.9172,26.4,120
0.22,2.94372,26.52,120
0.221,2.97036,26.64,120
0.222,2.99712,26.76,120
0.223,3.024,26.88,120
0.224,3.051,27,120
0.225,3.07812,27.12,120
0.226,3.10536,27.24,120
0.227,3.13272,27.36,120
0.228,3.1602,27.48,120
0.229,3.1878,27.6,120
0.23,3.21552,27.72,120
0.231,3.24336,27.84,120
0.232,3.27132,27.96,120
0.233,3.2994,28.08,120
0.234,3.3276,28.2,120
0.235,3.35592,28.32,120
0.236,3.38436,28.44,120
0.237,3.41292,28.56,120
0.238,3.4416,28.68,120
0.239,3.4704,28.8,120
0.24,3.49932,28.92,120
0.241,3.52836,29.04,120
0.242,3.55752,29.16,120
0.243,3.5868,29.28,120
0.244,3.6162,29.4,120
0.245,3.64572,29.52,120
0.246,3.67536,29.64,120
0.247,3.70512,29.76,120
0.248,3.735,29.88,120
0.249,3.765,30,120
0.25,3.79512,30.12,120
0.251,3.82536,30.24,120
0.252,3.85572,30.36,120
0.253,3.8862,30.48,120
0.254,3.91677,30.569,89
