Time,TCP_Z,Error_Z,Joint_V_Norm
0.16,0.6523,0.0992002,0.724467
0.161,0.652305,0.0991952,0.724471
0.162,0.65231,0.0991902,0.724474
0.163,0.652315,0.0991852,0.724477
0.164,0.65232,0.0991802,0.724481
0.165,0.652325,0.0991753,0.724484
0.166,0.65233,0.0991703,0.724487
0.167,0.652335,0.0991653,0.724491
0.168,0.65234,0.0991603,0.724494
0.169,0.652345,0.0991553,0.724497
0.17,0.65235,0.0991503,0.724501
0.171,0.652355,0.0991453,0.724504
0.172,0.65236,0.0991403,0.724507
0.173,0.652365,0.0991353,0.724511
0.174,0.65237,0.0991303,0.724514
0.175,0.652375,0.0991253,0.724517
0.176,0.65238,0.0991203,0.724521
0.177,0.652385,0.0991153,0.724524
0.178,0.65239,0.0991103,0.724527
0.179,0.652395,0.0991053,0.724531
0.18,0.6524,0.0991003,0.724534
0.181,0.652405,0.0990953,0.724537
0.182,0.65241,0.0990903,0.724541
0.183,0.652415,0.0990853,0.724544
0.184,0.65242,0.0990803,0.724547
0.185,0.652425,0.0990753,0.724551
0.186,0.65243,0.0990703,0.724554
0.187,0.652435,0.0990653,0.724557
0.188,0.65244,0.0990603,0.724561
0.189,0.652445,0.0990553,0.724564
0.19,0.65245,0.0990503,0.724567
0.191,0.652455,0.0990453,0.724571
0.192,0.65246,0.0990403,0.724574
0.193,0.652465,0.0990353,0.724577
0.194,0.65247,0.0990303,0.72458
0.195,0.652475,0.0990253,0.724584
0.196,0.65248,0.0990204,0.724587
0.197,0.652485,0.0990154,0.72459
0.198,0.65249,0.0990104,0.724594
0.199,0.652495,0.0990054,0.724597
0.2,0.6525,0.0990004,0.7246
0.201,0.652505,0.0989954,0.724604
0.202,0.65251,0.0989904,0.724607
0.203,0.652515,0.0989854,0.72461
0.204,0.65252,0.0989804,0.724614
0.205,0.652525,0.0989754,0.724617
0.206,0.65253,0.0989704,0.72462
0.207,0.652535,0.0989654,0.724624
0.208,0.65254,0.0989604,0.724627
0.209,0.652545,0.0989554,0.72463
0.21,0.65255,0.0989504,0.724633
0.211,0.652555,0.0989454,0.724637
0.212,0.65256,0.0989404,0.72464
0.213,0.652565,0.0989354,0.724643
0.214,0.65257,0.0989304,0.724647
0.215,0.652575,0.0989254,0.72465
