Time,Curr_X,Curr_Y,Curr_Z,Goal_Z
0.137,0.559,0.0345,0.652183,0.7515
0.138,0.559,0.0345,0.652187,0.7515
0.139,0.559,0.0345,0.652192,0.7515
0.14,0.559,0.0345,0.652197,0.7515
0.141,0.559,0.0345,0.652202,0.7515
0.142,0.559,0.0345,0.652207,0.7515
0.143,0.559,0.0345,0.652212,0.7515
0.144,0.559,0.0345,0.652217,0.7515
0.145,0.559,0.0345,0.652222,0.7515
0.146,0.559,0.0345,0.652227,0.7515
0.147,0.559,0.0345,0.652232,0.7515
0.148,0.559,0.0345,0.652237,0.7515
0.149,0.558999,0.0345,0.652242,0.7515
0.15,0.558999,0.0345,0.652247,0.7515
0.151,0.558999,0.0345,0.652252,0.7515
0.152,0.558999,0.0345,0.652257,0.7515
0.153,0.558999,0.0345,0.652262,0.7515
0.154,0.558999,0.0345,0.652267,0.7515
0.155,0.558999,0.0345,0.652272,0.7515
0.156,0.558999,0.0345,0.652277,0.7515
0.157,0.558999,0.0345,0.652282,0.7515
0.158,0.558999,0.0345,0.652287,0.7515
0.159,0.558999,0.0345,0.652292,0.7515
0.16,0.558999,0.0345,0.652297,0.7515
0.161,0.558999,0.0345,0.652302,0.7515
0.162,0.558999,0.0345,0.652307,0.7515
0.163,0.558999,0.0345,0.652311,0.7515
0.164,0.558999,0.0345,0.652316,0.7515
0.165,0.558999,0.0345,0.652321,0.7515
0.166,0.558999,0.0345,0.652326,0.7515
0.167,0.558999,0.0345,0.652331,0.7515
0.168,0.558999,0.0345,0.652336,0.7515
0.169,0.558999,0.0345,0.652341,0.7515
0.17,0.558999,0.0345,0.652346,0.7515
0.171,0.558999,0.0345,0.652351,0.7515
0.172,0.558999,0.0345,0.652356,0.7515
0.173,0.558999,0.0345,0.652361,0.7515
0.174,0.558999,0.0345,0.652366,0.7515
0.175,0.558999,0.0345,0.652371,0.7515
0.176,0.558999,0.0345,0.652376,0.7515
0.177,0.558999,0.0345,0.652381,0.7515
0.178,0.558999,0.0345,0.652386,0.7515
0.179,0.558999,0.0345,0.652391,0.7515
0.18,0.558999,0.0345,0.652396,0.7515
0.181,0.558999,0.0345,0.652401,0.7515
0.182,0.558999,0.0345,0.652406,0.7515
0.183,0.558999,0.0345,0.652411,0.7515
0.184,0.558999,0.0345,0.652415,0.7515
0.185,0.558999,0.0345,0.65242,0.7515
0.186,0.558999,0.0345,0.652425,0.7515
0.187,0.558999,0.0345,0.65243,0.7515
0.188,0.558999,0.0345,0.652435,0.7515
0.189,0.558999,0.0345,0.65244,0.7515
0.19,0.558999,0.0345,0.652445,0.7515
0.191,0.558999,0.0345,0.65245,0.7515
0.192,0.558999,0.0345,0.652455,0.7515
0.193,0.558999,0.0345,0.65246,0.7515
0.194,0.558999,0.0345,0.652465,0.7515
0.195,0.558999,0.0345,0.65247,0.7515
0.196,0.558999,0.0345,0.652475,0.7515
0.197,0.558999,0.0345,0.65248,0.7515
0.198,0.558999,0.0345,0.652485,0.7515
0.199,0.558999,0.0345,0.65249,0.7515
0.2,0.558999,0.0345,0.652495,0.7515
0.201,0.558999,0.0345,0.6525,0.7515
0.202,0.558999,0.0345,0.652505,0.7515
0.203,0.558999,0.0345,0.65251,0.7515
0.204,0.558999,0.0345,0.652514,0.7515
0.205,0.558999,0.0345,0.652519,0.7515
0.206,0.558999,0.0345,0.652524,0.7515
0.207,0.558999,0.0345,0.652529,0.7515
0.208,0.558999,0.0345,0.652534,0.7515
0.209,0.558999,0.0345,0.652539,0.7515
0.21,0.558999,0.0345,0.652544,0.7515
0.211,0.558999,0.0345,0.652549,0.7515
0.212,0.558999,0.0345,0.652554,0.7515
0.213,0.558999,0.0345,0.652559,0.7515
0.214,0.558999,0.0345,0.652564,0.7515
0.215,0.558999,0.0345,0.652569,0.7515
0.216,0.558999,0.0345,0.652574,0.7515
0.217,0.558999,0.0345,0.652579,0.7515
0.218,0.558999,0.0345,0.652584,0.7515
0.219,0.558999,0.0345,0.652589,0.7515
0.22,0.558999,0.0345,0.652594,0.7515
0.221,0.558999,0.0345,0.652599,0.7515
0.222,0.558999,0.0345,0.652603,0.7515
0.223,0.558999,0.0345,0.652608,0.7515
0.224,0.558999,0.0345,0.652613,0.7515
0.225,0.558999,0.0345,0.652618,0.7515
0.226,0.558999,0.0345,0.652623,0.7515
0.227,0.558999,0.0345,0.652628,0.7515
0.228,0.558999,0.0345,0.652633,0.7515
0.229,0.558999,0.0345,0.652638,0.7515
0.23,0.558999,0.0345,0.652643,0.7515
0.231,0.558999,0.0345,0.652648,0.7515
0.232,0.558999,0.0345,0.652653,0.7515
0.233,0.558999,0.0345,0.652658,0.7515
0.234,0.558999,0.0345,0.652663,0.7515
0.235,0.558999,0.0345,0.652668,0.7515
0.236,0.558999,0.0345,0.652673,0.7515
0.237,0.558999,0.0345,0.652678,0.7515
0.238,0.558999,0.0345,0.652682,0.7515
0.239,0.558999,0.0345,0.652687,0.7515
0.24,0.558999,0.0345,0.652692,0.7515
0.241,0.558999,0.0345,0.652697,0.7515
0.242,0.558999,0.0345,0.652702,0.7515
0.243,0.558999,0.0345,0.652707,0.7515
0.244,0.558999,0.0345,0.652712,0.7515
0.245,0.558999,0.0345,0.652717,0.7515
0.246,0.558999,0.0345,0.652722,0.7515
0.247,0.558999,0.0345,0.652727,0.7515
0.248,0.558999,0.0345,0.652732,0.7515
0.249,0.558999,0.0345,0.652737,0.7515
0.25,0.558999,0.0345,0.652742,0.7515
0.251,0.558999,0.0345,0.652747,0.7515
0.252,0.558999,0.0345,0.652752,0.7515
0.253,0.558999,0.0345,0.652757,0.7515
0.254,0.558999,0.0345,0.652761,0.7515
0.255,0.558999,0.0345,0.652766,0.7515
0.256,0.558999,0.0345,0.652771,0.7515
0.257,0.558999,0.0345,0.652776,0.7515
0.258,0.558999,0.0345,0.652781,0.7515
0.259,0.558999,0.0345,0.652786,0.7515
0.26,0.558999,0.0345,0.652791,0.7515
0.261,0.558999,0.0345,0.652796,0.7515
0.262,0.558999,0.0345,0.652801,0.7515
0.263,0.558999,0.0345,0.652806,0.7515
0.264,0.558999,0.0345,0.652811,0.7515
0.265,0.558999,0.0345,0.652816,0.7515
0.266,0.558999,0.0345,0.652821,0.7515
0.267,0.558999,0.0345,0.652826,0.7515
0.268,0.558999,0.0345,0.652831,0.7515
0.269,0.558999,0.0345,0.652835,0.7515
0.27,0.558999,0.0345,0.65284,0.7515
0.271,0.558999,0.0345,0.652845,0.7515
0.272,0.558999,0.0345,0.65285,0.7515
0.273,0.558999,0.0345,0.652855,0.7515
0.274,0.558999,0.0345,0.65286,0.7515
0.275,0.558999,0.0345,0.652865,0.7515
0.276,0.558999,0.0345,0.65287,0.7515
0.277,0.558999,0.0345,0.652875,0.7515
0.278,0.558999,0.0345,0.65288,0.7515
0.279,0.558999,0.0345,0.652885,0.7515
0.28,0.558999,0.0345,0.65289,0.7515
0.281,0.558999,0.0345,0.652895,0.7515
0.282,0.558999,0.0345,0.6529,0.7515
0.283,0.558999,0.0345,0.652904,0.7515
0.284,0.558999,0.0345,0.652909,0.7515
0.285,0.558999,0.0345,0.652914,0.7515
0.286,0.558999,0.0345,0.652919,0.7515
0.287,0.558999,0.0345,0.652924,0.7515
0.288,0.558999,0.0345,0.652929,0.7515
0.289,0.558999,0.0345,0.652934,0.7515
0.29,0.558999,0.0345,0.652939,0.7515
0.291,0.558999,0.0345,0.652944,0.7515
0.292,0.558999,0.0345,0.652949,0.7515
0.293,0.558999,0.0345,0.652954,0.7515
0.294,0.558999,0.0345,0.652959,0.7515
0.295,0.558999,0.0345,0.652964,0.7515
0.296,0.558999,0.0345,0.652968,0.7515
0.297,0.558999,0.0345,0.652973,0.7515
0.298,0.558999,0.0345,0.652978,0.7515
0.299,0.558999,0.0345,0.652983,0.7515
0.3,0.558999,0.0345,0.652988,0.7515
0.301,0.558999,0.0345,0.652993,0.7515
0.302,0.558999,0.0345,0.652998,0.7515
0.303,0.558999,0.0345,0.653003,0.7515
0.304,0.558999,0.0345,0.653008,0.7515
0.305,0.558999,0.0345,0.653013,0.7515
0.306,0.558999,0.0345,0.653018,0.7515
0.307,0.558999,0.0345,0.653023,0.7515
0.308,0.558999,0.0345,0.653028,0.7515
0.309,0.558999,0.0345,0.653032,0.7515
0.31,0.558999,0.0345,0.653037,0.7515
0.311,0.558999,0.0345,0.653042,0.7515
0.312,0.558999,0.0345,0.653047,0.7515
0.313,0.558999,0.0345,0.653052,0.7515
0.314,0.558999,0.0345,0.653057,0.7515
0.315,0.558999,0.0345,0.653062,0.7515
0.316,0.558999,0.0345,0.653067,0.7515
0.317,0.558999,0.0345,0.653072,0.7515
0.318,0.558999,0.0345,0.653077,0.7515
0.319,0.558999,0.0345,0.653082,0.7515
0.32,0.558999,0.0345,0.653087,0.7515
0.321,0.558999,0.0345,0.653091,0.7515
0.322,0.558999,0.0345,0.653096,0.7515
0.323,0.558999,0.0345,0.653101,0.7515
0.324,0.558999,0.0345,0.653106,0.7515
0.325,0.558999,0.0345,0.653111,0.7515
0.326,0.558999,0.0345,0.653116,0.7515
0.327,0.558999,0.0345,0.653121,0.7515
0.328,0.558999,0.0345,0.653126,0.7515
0.329,0.558999,0.0345,0.653131,0.7515
0.33,0.558999,0.0345,0.653136,0.7515
0.331,0.558999,0.0345,0.653141,0.7515
0.332,0.558999,0.0345,0.653146,0.7515
0.333,0.558999,0.0345,0.65315,0.7515
0.334,0.558999,0.0345,0.653155,0.7515
0.335,0.558999,0.0345,0.65316,0.7515
0.336,0.558999,0.0345,0.653165,0.7515
0.337,0.558999,0.0345,0.65317,0.7515
0.338,0.558999,0.0345,0.653175,0.7515
0.339,0.558999,0.0345,0.65318,0.7515
0.34,0.558999,0.0345,0.653185,0.7515
0.341,0.558999,0.0345,0.65319,0.7515
0.342,0.558999,0.0345,0.653195,0.7515
0.343,0.558999,0.0345,0.6532,0.7515
0.344,0.558999,0.0345,0.653205,0.7515
0.345,0.558999,0.0345,0.653209,0.7515
0.346,0.558999,0.0345,0.653214,0.7515
0.347,0.558999,0.0345,0.653219,0.7515
0.348,0.558999,0.0345,0.653224,0.7515
0.349,0.558999,0.0345,0.653229,0.7515
0.35,0.558999,0.0345,0.653234,0.7515
0.351,0.558999,0.0345,0.653239,0.7515
0.352,0.558999,0.0345,0.653244,0.7515
0.353,0.558999,0.0345,0.653249,0.7515
0.354,0.558999,0.0345,0.653254,0.7515
0.355,0.558999,0.0345,0.653259,0.7515
0.356,0.558999,0.0345,0.653263,0.7515
0.357,0.558999,0.0345,0.653268,0.7515
0.358,0.558999,0.0345,0.653273,0.7515
0.359,0.558999,0.0345,0.653278,0.7515
0.36,0.558999,0.0345,0.653283,0.7515
0.361,0.558999,0.0345,0.653288,0.7515
0.362,0.558999,0.0345,0.653293,0.7515
0.363,0.558999,0.0345,0.653298,0.7515
0.364,0.558999,0.0345,0.653303,0.7515
0.365,0.558999,0.0345,0.653308,0.7515
0.366,0.558999,0.0345,0.653313,0.7515
0.367,0.558999,0.0345,0.653317,0.7515
0.368,0.558999,0.0345,0.653322,0.7515
0.369,0.558999,0.0345,0.653327,0.7515
0.37,0.558999,0.0345,0.653332,0.7515
0.371,0.558999,0.0345,0.653337,0.7515
0.372,0.558999,0.0345,0.653342,0.7515
0.373,0.558999,0.0345,0.653347,0.7515
0.374,0.558999,0.0345,0.653352,0.7515
0.375,0.558999,0.0345,0.653357,0.7515
0.376,0.558999,0.0345,0.653362,0.7515
0.377,0.558999,0.0345,0.653366,0.7515
0.378,0.558999,0.0345,0.653371,0.7515
0.379,0.558999,0.0345,0.653376,0.7515
0.38,0.558999,0.0345,0.653381,0.7515
0.381,0.558999,0.0345,0.653386,0.7515
0.382,0.558999,0.0345,0.653391,0.7515
0.383,0.558999,0.0345,0.653396,0.7515
0.384,0.558999,0.0345,0.653401,0.7515
0.385,0.558999,0.0345,0.653406,0.7515
0.386,0.558999,0.0345,0.653411,0.7515
0.387,0.558999,0.0345,0.653416,0.7515
0.388,0.558999,0.0345,0.65342,0.7515
0.389,0.558999,0.0345,0.653425,0.7515
0.39,0.558999,0.0345,0.65343,0.7515
0.391,0.558999,0.0345,0.653435,0.7515
0.392,0.558999,0.0345,0.65344,0.7515
0.393,0.558999,0.0345,0.653445,0.7515
0.394,0.558999,0.0345,0.65345,0.7515
0.395,0.558999,0.0345,0.653455,0.7515
0.396,0.558999,0.0345,0.65346,0.7515
0.397,0.558999,0.0345,0.653464,0.7515
0.398,0.558999,0.0345,0.653469,0.7515
0.399,0.558999,0.0345,0.653474,0.7515
0.4,0.558999,0.0345,0.653479,0.7515
0.401,0.558999,0.0345,0.653484,0.7515
0.402,0.558999,0.0345,0.653489,0.7515
0.403,0.558999,0.0345,0.653494,0.7515
0.404,0.558999,0.0345,0.653499,0.7515
0.405,0.558999,0.0345,0.653504,0.7515
0.406,0.558999,0.0345,0.653509,0.7515
0.407,0.558999,0.0345,0.653513,0.7515
0.408,0.558999,0.0345,0.653518,0.7515
0.409,0.558999,0.0345,0.653523,0.7515
0.41,0.558999,0.0345,0.653528,0.7515
0.411,0.558999,0.0345,0.653533,0.7515
0.412,0.558999,0.0345,0.653538,0.7515
0.413,0.558999,0.0345,0.653543,0.7515
0.414,0.558999,0.0345,0.653548,0.7515
0.415,0.558999,0.0345,0.653553,0.7515
0.416,0.558999,0.0345,0.653558,0.7515
0.417,0.558999,0.0345,0.653562,0.7515
0.418,0.558999,0.0345,0.653567,0.7515
0.419,0.558999,0.0345,0.653572,0.7515
0.42,0.558999,0.0345,0.653577,0.7515
0.421,0.558999,0.0345,0.653582,0.7515
0.422,0.558999,0.0345,0.653587,0.7515
0.423,0.558999,0.0345,0.653592,0.7515
0.424,0.558999,0.0345,0.653597,0.7515
0.425,0.558999,0.0345,0.653602,0.7515
0.426,0.558999,0.0345,0.653606,0.7515
0.427,0.558999,0.0345,0.653611,0.7515
0.428,0.558999,0.0345,0.653616,0.7515
0.429,0.558999,0.0345,0.653621,0.7515
0.43,0.558999,0.0345,0.653626,0.7515
0.431,0.558999,0.0345,0.653631,0.7515
0.432,0.558999,0.0345,0.653636,0.7515
0.433,0.558999,0.0345,0.653641,0.7515
0.434,0.558999,0.0345,0.653646,0.7515
0.435,0.558999,0.0345,0.65365,0.7515
0.436,0.558999,0.0345,0.653655,0.7515
0.437,0.558999,0.0345,0.65366,0.7515
0.438,0.558999,0.0345,0.653665,0.7515
0.439,0.558999,0.0345,0.65367,0.7515
0.44,0.558999,0.0345,0.653675,0.7515
0.441,0.558999,0.0345,0.65368,0.7515
0.442,0.558999,0.0345,0.653685,0.7515
0.443,0.558999,0.0345,0.65369,0.7515
0.444,0.558999,0.0345,0.653694,0.7515
0.445,0.558999,0.0345,0.653699,0.7515
0.446,0.558999,0.0345,0.653704,0.7515
0.447,0.558999,0.0345,0.653709,0.7515
0.448,0.558999,0.0345,0.653714,0.7515
0.449,0.558999,0.0345,0.653719,0.7515
0.45,0.558999,0.0345,0.653724,0.7515
0.451,0.558999,0.0345,0.653729,0.7515
0.452,0.558999,0.0345,0.653734,0.7515
0.453,0.558999,0.0345,0.653738,0.7515
0.454,0.558999,0.0345,0.653743,0.7515
0.455,0.558999,0.0345,0.653748,0.7515
0.456,0.558999,0.0345,0.653753,0.7515
0.457,0.558999,0.0345,0.653758,0.7515
0.458,0.558999,0.0345,0.653763,0.7515
0.459,0.558999,0.0345,0.653768,0.7515
0.46,0.558999,0.0345,0.653773,0.7515
0.461,0.558999,0.0345,0.653778,0.7515
0.462,0.558999,0.0345,0.653782,0.7515
0.463,0.558999,0.0345,0.653787,0.7515
0.464,0.558999,0.0345,0.653792,0.7515
0.465,0.558999,0.0345,0.653797,0.7515
0.466,0.558999,0.0345,0.653802,0.7515
0.467,0.558999,0.0345,0.653807,0.7515
0.468,0.558999,0.0345,0.653812,0.7515
0.469,0.558999,0.0345,0.653817,0.7515
0.47,0.558999,0.0345,0.653821,0.7515
0.471,0.558999,0.0345,0.653826,0.7515
0.472,0.558999,0.0345,0.653831,0.7515
0.473,0.558999,0.0345,0.653836,0.7515
0.474,0.558999,0.0345,0.653841,0.7515
0.475,0.558999,0.0345,0.653846,0.7515
0.476,0.558999,0.0345,0.653851,0.7515
0.477,0.558999,0.0345,0.653856,0.7515
0.478,0.558999,0.0345,0.65386,0.7515
0.479,0.558999,0.0345,0.653865,0.7515
0.48,0.558999,0.0345,0.65387,0.7515
0.481,0.558999,0.0345,0.653875,0.7515
0.482,0.558999,0.0345,0.65388,0.7515
0.483,0.558999,0.0345,0.653885,0.7515
0.484,0.558999,0.0345,0.65389,0.7515
0.485,0.558999,0.0345,0.653895,0.7515
0.486,0.558999,0.0345,0.6539,0.7515
0.487,0.558999,0.0345,0.653904,0.7515
0.488,0.558999,0.0345,0.653909,0.7515
0.489,0.558999,0.0345,0.653914,0.7515
0.49,0.558999,0.0345,0.653919,0.7515
0.491,0.558999,0.0345,0.653924,0.7515
0.492,0.558999,0.0345,0.653929,0.7515
0.493,0.558999,0.0345,0.653934,0.7515
0.494,0.558999,0.0345,0.653939,0.7515
0.495,0.558999,0.0345,0.653943,0.7515
0.496,0.558999,0.0345,0.653948,0.7515
0.497,0.558999,0.0345,0.653953,0.7515
0.498,0.558999,0.0345,0.653958,0.7515
0.499,0.558999,0.0345,0.653963,0.7515
0.5,0.558999,0.0345,0.653968,0.7515
0.501,0.558999,0.0345,0.653973,0.7515
0.502,0.558999,0.0345,0.653978,0.7515
0.503,0.558999,0.0345,0.653982,0.7515
0.504,0.558999,0.0345,0.653987,0.7515
0.505,0.558999,0.0345,0.653992,0.7515
0.506,0.558999,0.0345,0.653997,0.7515
0.507,0.558999,0.0345,0.654002,0.7515
0.508,0.558999,0.0345,0.654007,0.7515
0.509,0.558999,0.0345,0.654012,0.7515
0.51,0.558999,0.0345,0.654016,0.7515
0.511,0.558999,0.0345,0.654021,0.7515
0.512,0.558999,0.0345,0.654026,0.7515
0.513,0.558999,0.0345,0.654031,0.7515
0.514,0.558999,0.0345,0.654036,0.7515
0.515,0.558999,0.0345,0.654041,0.7515
0.516,0.558999,0.0345,0.654046,0.7515
0.517,0.558999,0.0345,0.654051,0.7515
0.518,0.558999,0.0345,0.654055,0.7515
0.519,0.558999,0.0345,0.65406,0.7515
0.52,0.558999,0.0345,0.654065,0.7515
0.521,0.558999,0.0345,0.65407,0.7515
0.522,0.558999,0.0345,0.654075,0.7515
0.523,0.558999,0.0345,0.65408,0.7515
0.524,0.558999,0.0345,0.654085,0.7515
0.525,0.558999,0.0345,0.65409,0.7515
0.526,0.558999,0.0345,0.654094,0.7515
0.527,0.558999,0.0345,0.654099,0.7515
0.528,0.558999,0.0345,0.654104,0.7515
0.529,0.558999,0.0345,0.654109,0.7515
0.53,0.558999,0.0345,0.654114,0.7515
0.531,0.558999,0.0345,0.654119,0.7515
0.532,0.558999,0.0345,0.654124,0.7515
0.533,0.558999,0.0345,0.654128,0.7515
0.534,0.558999,0.0345,0.654133,0.7515
0.535,0.558999,0.0345,0.654138,0.7515
0.536,0.558999,0.0345,0.654143,0.7515
0.537,0.558999,0.0345,0.654148,0.7515
0.538,0.558999,0.0345,0.654153,0.7515
0.539,0.558999,0.0345,0.654158,0.7515
0.54,0.558999,0.0345,0.654163,0.7515
0.541,0.558999,0.0345,0.654167,0.7515
0.542,0.558999,0.0345,0.654172,0.7515
0.543,0.558999,0.0345,0.654177,0.7515
0.544,0.558999,0.0345,0.654182,0.7515
0.545,0.558999,0.0345,0.654187,0.7515
0.546,0.558999,0.0345,0.654192,0.7515
0.547,0.558999,0.0345,0.654197,0.7515
0.548,0.558999,0.0345,0.654201,0.7515
0.549,0.558999,0.0345,0.654206,0.7515
0.55,0.558999,0.0345,0.654211,0.7515
0.551,0.558999,0.0345,0.654216,0.7515
0.552,0.558999,0.0345,0.654221,0.7515
0.553,0.558999,0.0345,0.654226,0.7515
0.554,0.558999,0.0345,0.654231,0.7515
0.555,0.558999,0.0345,0.654235,0.7515
0.556,0.558999,0.0345,0.65424,0.7515
0.557,0.558999,0.0345,0.654245,0.7515
0.558,0.558999,0.0345,0.65425,0.7515
0.559,0.558999,0.0345,0.654255,0.7515
0.56,0.558999,0.0345,0.65426,0.7515
0.561,0.558999,0.0345,0.654265,0.7515
0.562,0.558999,0.0345,0.654269,0.7515
0.563,0.558999,0.0345,0.654274,0.7515
0.564,0.558999,0.0345,0.654279,0.7515
0.565,0.558999,0.0345,0.654284,0.7515
0.566,0.558999,0.0345,0.654289,0.7515
