Time,Step,Target_J1,Target_J2,Target_J3,Target_J4,Target_J5,Target_J6,Actual_J1,Actual_J2,Actual_J3,Actual_J4,Actual_J5,Actual_J6,Q_Error,Exec_us
0.0340,1,0.0000,0.0000,0.1071,0.0000,0.1339,0.0000,0.0004,0.0002,0.0012,-0.0028,0.0010,0.0003,0.1700,0.0700
0.0350,1,0.0000,0.0000,0.1134,0.0000,0.1417,0.0000,0.0004,0.0002,0.0012,-0.0028,0.0010,0.0003,0.1801,0.0950
0.0360,1,0.0000,0.0000,0.1199,0.0000,0.1498,0.0000,0.0004,0.0002,0.0012,-0.0028,0.0010,0.0003,0.1904,0.0920
0.0370,1,0.0000,0.0000,0.1265,0.0000,0.1582,0.0000,0.0004,0.0002,0.0012,-0.0028,0.0010,0.0003,0.2011,0.4430
0.0380,1,0.0000,0.0000,0.1334,0.0000,0.1667,0.0000,0.0004,0.0002,0.0012,-0.0028,0.0010,0.0003,0.2120,0.2600
0.0390,1,0.0000,0.0000,0.1404,0.0000,0.1755,0.0000,0.0004,0.0002,0.0012,-0.0028,0.0010,0.0003,0.2233,0.0750
0.0400,1,0.0000,0.0000,0.1476,0.0000,0.1845,0.0000,0.0004,0.0002,0.0011,-0.0028,0.0010,0.0003,0.2349,0.4430
0.0410,1,0.0000,0.0000,0.1550,0.0000,0.1937,0.0000,0.0004,0.0002,0.0011,-0.0028,0.0010,0.0003,0.2467,0.4320
0.0420,1,0.0000,0.0000,0.1625,0.0000,0.2032,0.0000,0.0004,0.0002,0.0011,-0.0028,0.0010,0.0003,0.2588,0.0690
0.0430,1,0.0000,0.0000,0.1703,0.0000,0.2128,0.0000,0.0004,0.0002,0.0011,-0.0028,0.0010,0.0003,0.2712,0.0680
0.0440,1,0.0000,0.0000,0.1782,0.0000,0.2227,0.0000,0.0004,0.0002,0.0011,-0.0028,0.0010,0.0003,0.2839,0.1420
0.0450,1,0.0000,0.0000,0.1863,0.0000,0.2329,0.0000,0.0004,0.0002,0.0011,-0.0028,0.0010,0.0003,0.2968,0.4430
0.0460,1,0.0000,0.0000,0.1946,0.0000,0.2432,0.0000,0.0004,0.0002,0.0011,-0.0028,0.0010,0.0003,0.3101,0.0750
0.0470,1,0.0000,0.0000,0.2030,0.0000,0.2538,0.0000,0.0004,0.0002,0.0011,-0.0028,0.0010,0.0003,0.3236,0.4690
0.0480,1,0.0000,0.0000,0.2117,0.0000,0.2646,0.0000,0.0004,0.0002,0.0011,-0.0028,0.0010,0.0003,0.3374,0.0680
0.0490,1,0.0000,0.0000,0.2205,0.0000,0.2756,0.0000,0.0004,0.0002,0.0012,-0.0028,0.0010,0.0003,0.3515,0.4700
0.0500,1,0.0000,0.0000,0.2295,0.0000,0.2869,0.0000,0.0004,0.0002,0.0012,-0.0028,0.0010,0.0003,0.3659,0.0690
0.0510,1,0.0000,0.0000,0.2387,0.0000,0.2983,0.0000,0.0004,0.0002,0.0012,-0.0028,0.0010,0.0003,0.3806,0.1640
0.0520,1,0.0000,0.0000,0.2480,0.0000,0.3100,0.0000,0.0004,0.0002,0.0013,-0.0028,0.0010,0.0003,0.3955,0.4740
0.0530,1,0.0000,0.0000,0.2576,0.0000,0.3220,0.0000,0.0004,0.0002,0.0013,-0.0028,0.0010,0.0003,0.4108,0.0700
0.0540,1,0.0000,0.0000,0.2673,0.0000,0.3341,0.0000,0.0004,0.0002,0.0013,-0.0027,0.0010,0.0003,0.4263,0.0680
0.0550,1,0.0000,0.0000,0.2772,0.0000,0.3465,0.0000,0.0004,0.0001,0.0014,-0.0027,0.0011,0.0003,0.4420,0.0670
0.0560,1,0.0000,0.0000,0.2873,0.0000,0.3591,0.0000,0.0004,0.0001,0.0014,-0.0027,0.0011,0.0003,0.4581,0.4060
0.0570,1,0.0000,0.0000,0.2975,0.0000,0.3719,0.0000,0.0004,0.0001,0.0014,-0.0027,0.0011,0.0003,0.4745,0.2490
0.0580,1,0.0000,0.0000,0.3080,0.0000,0.3850,0.0000,0.0004,0.0001,0.0016,-0.0027,0.0013,0.0003,0.4911,0.1650
0.0590,1,0.0000,0.0000,0.3186,0.0000,0.3982,0.0000,0.0004,0.0001,0.0018,-0.0027,0.0014,0.0003,0.5078,0.4690
0.0600,1,0.0000,0.0000,0.3294,0.0000,0.4117,0.0000,0.0004,0.0001,0.0020,-0.0027,0.0016,0.0003,0.5248,0.0680
0.0610,1,0.0000,0.0000,0.3404,0.0000,0.4255,0.0000,0.0004,0.0001,0.0027,-0.0027,0.0023,0.0003,0.5414,0.4340
0.0620,1,0.0000,0.0000,0.3515,0.0000,0.4394,0.0000,0.0004,0.0001,0.0033,-0.0027,0.0029,0.0003,0.5584,0.0690
0.0630,1,0.0000,0.0000,0.3629,0.0000,0.4536,0.0000,0.0004,0.0001,0.0039,-0.0027,0.0035,0.0003,0.5757,0.0780
0.0640,1,0.0000,0.0000,0.3744,0.0000,0.4680,0.0000,0.0004,0.0001,0.0047,-0.0027,0.0044,0.0003,0.5930,0.0690
0.0650,1,0.0000,0.0000,0.3861,0.0000,0.4826,0.0000,0.0004,0.0001,0.0054,-0.0027,0.0053,0.0003,0.6106,0.1090
0.0660,1,0.0000,0.0000,0.3980,0.0000,0.4975,0.0000,0.0004,0.0001,0.0054,-0.0027,0.0053,0.0003,0.6296,0.0380
0.0670,1,0.0000,0.0000,0.4100,0.0000,0.5125,0.0000,0.0004,0.0001,0.0063,-0.0027,0.0063,0.0003,0.6475,0.0750
0.0680,1,0.0000,0.0000,0.4223,0.0000,0.5278,0.0000,0.0004,0.0001,0.0074,-0.0027,0.0076,0.0003,0.6654,0.4340
0.0690,1,0.0000,0.0000,0.4347,0.0000,0.5434,0.0000,0.0004,0.0001,0.0086,-0.0027,0.0091,0.0003,0.6834,0.0680
0.0700,1,0.0000,0.0000,0.4473,0.0000,0.5591,0.0000,0.0004,0.0001,0.0099,-0.0027,0.0109,0.0003,0.7014,0.4520
0.0710,1,0.0000,0.0000,0.4601,0.0000,0.5751,0.0000,0.0004,0.0000,0.0114,-0.0027,0.0128,0.0003,0.7194,0.4340
0.0720,1,0.0000,0.0000,0.4730,0.0000,0.5913,0.0000,0.0004,0.0000,0.0132,-0.0027,0.0150,0.0003,0.7373,0.0690
0.0730,1,0.0000,0.0000,0.4862,0.0000,0.6077,0.0000,0.0004,0.0000,0.0150,-0.0027,0.0175,0.0003,0.7552,0.3540
0.0740,1,0.0000,0.0000,0.4995,0.0000,0.6244,0.0000,0.0004,-0.0001,0.0171,-0.0027,0.0202,0.0003,0.7731,0.0690
0.0750,1,0.0000,0.0000,0.5130,0.0000,0.6412,0.0000,0.0004,-0.0001,0.0193,-0.0027,0.0232,0.0003,0.7911,0.0670
0.0760,1,0.0000,0.0000,0.5267,0.0000,0.6583,0.0000,0.0004,-0.0002,0.0218,-0.0027,0.0264,0.0003,0.8089,0.0680
0.0770,1,0.0000,0.0000,0.5405,0.0000,0.6757,0.0000,0.0004,-0.0002,0.0244,-0.0027,0.0298,0.0003,0.8268,0.1170
0.0780,1,0.0000,0.0000,0.5546,0.0000,0.6932,0.0000,0.0004,-0.0003,0.0271,-0.0027,0.0337,0.0003,0.8445,0.1510
0.0790,1,0.0000,0.0000,0.5688,0.0000,0.7110,0.0000,0.0004,-0.0004,0.0301,-0.0025,0.0377,0.0003,0.8623,0.0810
0.0800,1,0.0000,0.0000,0.5832,0.0000,0.7290,0.0000,0.0004,-0.0005,0.0332,-0.0025,0.0418,0.0003,0.8802,0.8690
0.0810,1,0.0000,0.0000,0.5978,0.0000,0.7472,0.0000,0.0004,-0.0006,0.0365,-0.0025,0.0464,0.0003,0.8979,0.4110
0.0820,1,0.0000,0.0000,0.6125,0.0000,0.7657,0.0000,0.0004,-0.0008,0.0399,-0.0025,0.0510,0.0003,0.9158,0.0650
0.0830,1,0.0000,0.0000,0.6275,0.0000,0.7843,0.0000,0.0004,-0.0009,0.0436,-0.0026,0.0559,0.0003,0.9336,0.0690
0.0840,1,0.0000,0.0000,0.6426,0.0000,0.8032,0.0000,0.0004,-0.0011,0.0475,-0.0026,0.0609,0.0003,0.9514,0.4170
0.0850,1,0.0000,0.0000,0.6579,0.0000,0.8224,0.0000,0.0004,-0.0012,0.0514,-0.0026,0.0661,0.0003,0.9694,0.0650
0.0860,1,0.0000,0.0000,0.6734,0.0000,0.8417,0.0000,0.0004,-0.0013,0.0556,-0.0026,0.0716,0.0003,0.9873,0.4430
0.0870,1,0.0000,0.0000,0.6890,0.0000,0.8613,0.0000,0.0004,-0.0017,0.0641,-0.0026,0.0831,0.0003,0.9980,0.0670
0.0880,1,0.0000,0.0000,0.7049,0.0000,0.8811,0.0000,0.0004,-0.0019,0.0688,-0.0026,0.0891,0.0003,1.0159,0.0760
0.0890,1,0.0000,0.0000,0.7209,0.0000,0.9011,0.0000,0.0004,-0.0019,0.0688,-0.0026,0.0891,0.0003,1.0415,0.4370
0.0900,1,0.0000,0.0000,0.7371,0.0000,0.9214,0.0000,0.0004,-0.0021,0.0735,-0.0026,0.0954,0.0003,1.0595,0.0680
0.0910,1,0.0000,0.0000,0.7535,0.0000,0.9418,0.0000,0.0004,-0.0024,0.0784,-0.0026,0.1021,0.0003,1.0775,0.0670
0.0920,1,0.0000,0.0000,0.7700,0.0000,0.9625,0.0000,0.0004,-0.0025,0.0835,-0.0024,0.1090,0.0003,1.0954,0.0650
0.0930,1,0.0000,0.0000,0.7868,0.0000,0.9835,0.0000,0.0004,-0.0027,0.0887,-0.0024,0.1161,0.0003,1.1134,0.4140
0.0940,1,0.0000,0.0000,0.8037,0.0000,1.0046,0.0000,0.0004,-0.0028,0.0942,-0.0024,0.1235,0.0003,1.1313,0.0660
0.0950,1,0.0000,0.0000,0.8208,0.0000,1.0260,0.0000,0.0004,-0.0031,0.0997,-0.0024,0.1312,0.0003,1.1491,0.0670
0.0960,1,0.0000,0.0000,0.8381,0.0000,1.0476,0.0000,0.0004,-0.0033,0.1054,-0.0024,0.1392,0.0003,1.1670,0.4430
0.0970,1,0.0000,0.0000,0.8555,0.0000,1.0694,0.0000,0.0004,-0.0035,0.1115,-0.0024,0.1475,0.0003,1.1847,0.4490
0.0980,1,0.0000,0.0000,0.8732,0.0000,1.0915,0.0000,0.0004,-0.0038,0.1178,-0.0024,0.1560,0.0003,1.2024,0.4430
0.0990,1,0.0000,0.0000,0.8910,0.0000,1.1137,0.0000,0.0004,-0.0040,0.1242,-0.0024,0.1647,0.0003,1.2201,0.0680
0.1000,1,0.0000,0.0000,0.9090,0.0000,1.1362,0.0000,0.0004,-0.0041,0.1310,-0.0023,0.1737,0.0003,1.2377,0.0750
0.1010,1,0.0000,0.0000,0.9272,0.0000,1.1590,0.0000,0.0004,-0.0044,0.1380,-0.0023,0.1831,0.0003,1.2551,0.4430
0.1020,1,0.0000,0.0000,0.9455,0.0000,1.1819,0.0000,0.0004,-0.0047,0.1451,-0.0023,0.1925,0.0003,1.2727,0.4490
0.1030,1,0.0000,0.0000,0.9641,0.0000,1.2051,0.0000,0.0004,-0.0048,0.1524,-0.0023,0.2023,0.0003,1.2901,0.0660
0.1040,1,0.0000,0.0000,0.9828,0.0000,1.2285,0.0000,0.0004,-0.0050,0.1599,-0.0023,0.2121,0.0003,1.3078,0.0680
0.1050,1,0.0000,0.0000,1.0017,0.0000,1.2521,0.0000,0.0004,-0.0052,0.1675,-0.0022,0.2223,0.0003,1.3253,0.4430
0.1060,1,0.0000,0.0000,1.0208,0.0000,1.2760,0.0000,0.0004,-0.0055,0.1752,-0.0022,0.2328,0.0003,1.3428,0.4430
0.1070,1,0.0000,0.0000,1.0400,0.0000,1.3000,0.0000,0.0004,-0.0058,0.1831,-0.0022,0.2435,0.0003,1.3605,0.0680
0.1080,1,0.0000,0.0000,1.0595,0.0000,1.3243,0.0000,0.0004,-0.0062,0.1911,-0.0022,0.2546,0.0003,1.3779,0.0670
0.1090,1,0.0000,0.0000,1.0791,0.0000,1.3489,0.0000,0.0004,-0.0064,0.1992,-0.0020,0.2658,0.0003,1.3955,0.4010
0.1100,1,0.0000,0.0000,1.0989,0.0000,1.3736,0.0000,0.0004,-0.0069,0.2163,-0.0021,0.2895,0.0003,1.3980,0.0740
0.1110,1,0.0000,0.0000,1.1189,0.0000,1.3986,0.0000,0.0004,-0.0071,0.2253,-0.0021,0.3016,0.0003,1.4149,0.0680
0.1120,1,0.0000,0.0000,1.1390,0.0000,1.4238,0.0000,0.0004,-0.0074,0.2344,-0.0021,0.3142,0.0003,1.4316,0.0680
0.1130,1,0.0000,0.0000,1.1594,0.0000,1.4492,0.0000,0.0004,-0.0077,0.2439,-0.0019,0.3267,0.0003,1.4485,0.4430
0.1140,1,0.0000,0.0000,1.1799,0.0000,1.4749,0.0000,0.0004,-0.0080,0.2535,-0.0019,0.3392,0.0003,1.4656,0.0680
0.1150,1,0.0000,0.0000,1.2006,0.0000,1.5008,0.0000,0.0005,-0.0082,0.2634,-0.0019,0.3521,0.0003,1.4825,0.4450
0.1160,1,0.0000,0.0000,1.2215,0.0000,1.5269,0.0000,0.0005,-0.0082,0.2634,-0.0019,0.3521,0.0003,1.5159,0.3820
0.1170,1,0.0000,0.0000,1.2425,0.0000,1.5532,0.0000,0.0005,-0.0085,0.2732,-0.0019,0.3653,0.0003,1.5332,0.0640
0.1180,1,0.0000,0.0000,1.2638,0.0000,1.5797,0.0000,0.0005,-0.0087,0.2834,-0.0019,0.3786,0.0003,1.5504,0.0690
0.1190,1,0.0000,0.0000,1.2852,0.0000,1.6065,0.0000,0.0005,-0.0090,0.2936,-0.0019,0.3922,0.0003,1.5677,0.0670
0.1200,1,0.0000,0.0000,1.3068,0.0000,1.6335,0.0000,0.0005,-0.0093,0.3041,-0.0018,0.4063,0.0003,1.5848,0.0680
0.1210,1,0.0000,0.0000,1.3286,0.0000,1.6607,0.0000,0.0005,-0.0096,0.3148,-0.0018,0.4207,0.0003,1.6018,0.0680
0.1220,1,0.0000,0.0000,1.3505,0.0000,1.6882,0.0000,0.0005,-0.0098,0.3257,-0.0018,0.4353,0.0003,1.6187,0.0670
0.1230,1,0.0000,0.0000,1.3727,0.0000,1.7159,0.0000,0.0005,-0.0102,0.3368,-0.0018,0.4500,0.0003,1.6357,0.0670
