Time,Step,Q_Err,DQ_Norm,DDQ_Norm,Exec_us,Reached
0.095000,1,110.789617,44.005267,426.635723,0.254000,0
0.096000,1,110.748213,44.427857,425.969164,0.255000,0
0.097000,1,110.706405,44.849695,425.309968,0.254000,0
0.098000,1,110.664193,45.270737,424.602176,0.257000,0
0.099000,1,110.621578,45.690811,423.710604,0.254000,0
0.100000,1,110.578562,46.109923,422.828369,0.255000,0
0.101000,1,110.535143,46.528081,421.955409,0.256000,0
0.102000,1,110.491323,46.945292,421.091663,0.274000,0
0.103000,1,110.447103,47.361563,420.237068,0.256000,0
0.104000,1,110.402484,47.776902,419.391562,0.255000,0
0.105000,1,110.357465,48.191315,418.555082,0.255000,0
0.106000,1,110.312048,48.604809,417.727567,0.254000,0
0.107000,1,110.266233,49.017392,416.908955,0.256000,0
0.108000,1,110.220021,49.429071,416.099184,0.254000,0
0.109000,1,110.173413,49.839853,415.298191,0.253000,0
0.110000,1,110.126408,50.249745,414.505916,0.467000,0
0.111000,1,110.079009,50.658754,413.722297,0.254000,0
0.112000,1,110.031214,51.066887,412.947271,0.256000,0
0.113000,1,109.983026,51.474151,412.180778,0.253000,0
0.114000,1,109.934444,51.880554,411.422755,0.254000,0
0.115000,1,109.885470,52.286102,410.673142,0.255000,0
0.116000,1,109.836103,52.690802,409.931877,0.252000,0
0.117000,1,109.786345,53.094661,409.198899,0.257000,0
0.118000,1,109.736196,53.497686,408.474147,0.256000,0
0.119000,1,109.685656,53.899884,407.757560,0.254000,0
0.120000,1,109.634727,54.301263,407.049077,0.254000,0
0.121000,1,109.583408,54.701828,406.348637,0.254000,0
0.122000,1,109.531701,55.101586,405.656180,0.256000,0
0.123000,1,109.479606,55.500546,404.971645,0.255000,0
0.124000,1,109.427124,55.898712,404.294972,0.253000,0
0.125000,1,109.374254,56.296093,403.626100,0.258000,0
0.126000,1,109.320999,56.692694,402.964970,0.257000,0
0.127000,1,109.267357,57.088523,402.311521,0.254000,0
0.128000,1,109.213331,57.483586,401.665693,0.256000,0
0.129000,1,109.158920,57.877890,401.027427,0.254000,0
0.130000,1,109.104125,58.271441,400.396663,0.255000,0
0.131000,1,109.048946,58.664247,399.773342,0.253000,0
0.132000,1,108.993385,59.056313,399.157404,0.253000,0
0.133000,1,108.937441,59.447646,398.548790,0.253000,0
0.134000,1,108.881116,59.838252,397.947442,0.253000,0
0.135000,1,108.824410,60.228139,397.353300,0.254000,0
0.136000,1,108.767322,60.617313,396.766306,0.254000,0
0.137000,1,108.709855,61.005779,396.186401,0.254000,0
0.138000,1,108.652008,61.393545,395.613527,0.254000,0
0.139000,1,108.593783,61.780617,395.047626,0.255000,0
0.140000,1,108.535178,62.167000,394.488640,0.253000,0
0.141000,1,108.476196,62.552702,393.936511,0.254000,0
0.142000,1,108.416836,62.937728,393.391182,0.254000,0
0.143000,1,108.357100,63.321236,391.905035,0.256000,0
0.144000,1,108.296990,63.703191,390.383483,0.255000,0
0.145000,1,108.236505,64.083600,388.876094,0.255000,0
0.146000,1,108.175647,64.462473,387.382810,0.253000,0
0.147000,1,108.114419,64.839817,385.903574,0.255000,0
0.148000,1,108.052820,65.215642,384.438327,0.255000,0
0.149000,1,107.990852,65.589956,382.987011,0.253000,0
0.150000,1,107.928516,65.962768,381.549566,0.254000,0
0.151000,1,107.865813,66.334087,380.125935,0.253000,0
0.152000,1,107.802744,66.703921,378.716057,0.359000,0
0.153000,1,107.739312,67.072280,377.319873,0.254000,0
0.154000,1,107.675516,67.439172,375.937323,0.253000,0
0.155000,1,107.611357,67.804607,374.568348,0.254000,0
0.156000,1,107.546838,68.168593,373.212887,0.253000,0
0.157000,1,107.481959,68.531138,371.870879,0.255000,0
0.158000,1,107.416721,68.892254,370.542264,0.254000,0
0.159000,1,107.351125,69.251947,369.226980,0.255000,0
0.160000,1,107.285173,69.610227,367.924966,0.253000,0
0.161000,1,107.218865,69.967104,366.636161,0.253000,0
0.162000,1,107.152203,70.322586,365.360502,0.253000,0
0.163000,1,107.085187,70.676682,364.097928,0.253000,0
0.164000,1,107.017820,71.029402,362.848375,0.256000,0
0.165000,1,106.950101,71.380754,361.611782,0.253000,0
0.166000,1,106.882032,71.730747,360.388084,0.254000,0
0.167000,1,106.813614,72.079391,359.177220,0.255000,0
0.168000,1,106.744848,72.426695,357.979124,0.254000,0
0.169000,1,106.675735,72.772668,356.793734,0.255000,0
0.170000,1,106.606276,73.117318,355.620984,0.253000,0
0.171000,1,106.536472,73.460655,354.460812,0.253000,0
0.172000,1,106.466325,73.802687,353.313151,0.253000,0
0.173000,1,106.395834,74.143425,352.177937,0.255000,0
0.174000,1,106.325002,74.482876,351.055105,0.256000,0
0.175000,1,106.253829,74.821051,349.944589,0.252000,0
0.176000,1,106.182316,75.157957,348.846323,0.255000,0
0.177000,1,106.110465,75.493604,347.760242,0.253000,0
0.178000,1,106.038275,75.828002,346.686278,0.253000,0
0.179000,1,105.965749,76.161158,345.624366,0.253000,0
0.180000,1,105.892887,76.493081,344.574438,0.253000,0
0.181000,1,105.819690,76.823782,343.536427,0.253000,0
0.182000,1,105.746159,77.153268,342.510266,0.254000,0
0.183000,1,105.672295,77.481549,341.495887,0.253000,0
0.184000,1,105.598099,77.808633,340.493222,0.254000,0
0.185000,1,105.523572,78.134530,339.502203,0.253000,0
0.186000,1,105.448715,78.459247,338.522761,0.255000,0
0.187000,1,105.373529,78.782795,337.554829,0.255000,0
0.188000,1,105.298014,79.105181,336.598336,0.254000,0
0.189000,1,105.222172,79.426415,335.653213,0.254000,0
0.190000,1,105.146004,79.746505,334.719392,0.254000,0
0.191000,1,105.069510,80.065460,333.796802,0.255000,0
0.192000,1,104.992692,80.383289,332.885374,0.254000,0
0.193000,1,104.915550,80.700000,331.985038,0.253000,0
0.194000,1,104.838085,81.015603,331.095723,0.254000,0
0.195000,1,104.760299,81.330104,330.217358,0.253000,0
0.196000,1,104.682191,81.643514,329.349874,0.255000,0
0.197000,1,104.603763,81.955841,328.493198,0.253000,0
0.198000,1,104.525016,82.267094,327.647261,0.255000,0
0.199000,1,104.445951,82.577280,326.811990,0.253000,0
0.200000,1,104.366568,82.886408,325.987314,0.255000,0
0.201000,1,104.286868,83.194487,325.173161,0.255000,0
0.202000,1,104.206853,83.501526,324.369460,0.253000,0
0.203000,1,104.126522,83.807532,323.576139,0.254000,0
0.204000,1,104.045878,84.112514,322.793125,0.253000,0
0.205000,1,103.964920,84.416210,321.677880,0.253000,0
0.206000,1,103.883650,84.718605,320.544623,0.254000,0
0.207000,1,103.802070,85.019708,319.424310,0.254000,0
0.208000,1,103.720180,85.319527,318.316874,0.254000,0
0.209000,1,103.637981,85.618070,317.222253,0.253000,0
0.210000,1,103.555474,85.915347,316.140379,0.254000,0
0.211000,1,103.472661,86.211367,315.071187,0.254000,0
0.212000,1,103.389542,86.506138,314.014612,0.253000,0
0.213000,1,103.306119,86.799668,312.970586,0.253000,0
0.214000,1,103.222392,87.091967,311.939044,0.255000,0
0.215000,1,103.138363,87.383042,310.919917,0.254000,0
0.216000,1,103.054032,87.672904,309.913137,0.254000,0
0.217000,1,102.969401,87.961560,308.918637,0.335000,0
0.218000,1,102.884471,88.249019,307.936349,0.255000,0
