Time,Step,Q_Error,Exec_us,Reached
0.1670,1,211.9945,0.2560,0
0.1680,1,211.9336,0.2550,0
0.1690,1,211.8723,0.2560,0
0.1700,1,211.8108,0.2540,0
0.1710,1,211.7490,0.2550,0
0.1720,1,211.6868,0.2550,0
0.1730,1,211.6244,0.2520,0
0.1740,1,211.5616,0.2560,0
0.1750,1,211.4986,0.2550,0
0.1760,1,211.4352,0.2550,0
0.1770,1,211.3715,0.2550,0
0.1780,1,211.3075,0.2560,0
0.1790,1,211.2432,0.2550,0
0.1800,1,211.1786,0.2550,0
0.1810,1,211.1137,0.2530,0
0.1820,1,211.0485,0.2540,0
0.1830,1,210.9830,0.2550,0
0.1840,1,210.9172,0.2560,0
0.1850,1,210.8510,0.2550,0
0.1860,1,210.7846,0.2530,0
0.1870,1,210.7178,0.2580,0
0.1880,1,210.6507,0.2560,0
0.1890,1,210.5834,0.2560,0
0.1900,1,210.5157,0.2560,0
0.1910,1,210.4477,0.2550,0
0.1920,1,210.3794,0.2550,0
0.1930,1,210.3108,0.2560,0
0.1940,1,210.2419,0.2550,0
0.1950,1,210.1727,0.2560,0
0.1960,1,210.1031,0.2550,0
0.1970,1,210.0333,0.2530,0
0.1980,1,209.9632,0.2540,0
0.1990,1,209.8927,0.2560,0
0.2000,1,209.8220,0.2540,0
0.2010,1,209.7509,0.2540,0
0.2020,1,209.6795,0.2540,0
0.2030,1,209.6078,0.2560,0
0.2040,1,209.5359,0.2580,0
0.2050,1,209.4636,0.2570,0
0.2060,1,209.3910,0.2530,0
0.2070,1,209.3180,0.2540,0
0.2080,1,209.2448,0.2540,0
0.2090,1,209.1713,0.2550,0
0.2100,1,209.0975,0.2540,0
0.2110,1,209.0233,0.2550,0
0.2120,1,208.9489,0.2560,0
0.2130,1,208.8741,0.2560,0
0.2140,1,208.7991,0.2560,0
0.2150,1,208.7237,0.2550,0
0.2160,1,208.6480,0.2540,0
0.2170,1,208.5720,0.2540,0
0.2180,1,208.4957,0.2570,0
0.2190,1,208.4191,0.2550,0
0.2200,1,208.3422,0.2780,0
0.2210,1,208.2651,0.2860,0
0.2220,1,208.1876,0.2690,0
0.2230,1,208.1099,0.2570,0
0.2240,1,208.0320,0.2570,0
0.2250,1,207.9538,0.2560,0
0.2260,1,207.8753,0.2570,0
0.2270,1,207.7966,0.2600,0
0.2280,1,207.7176,0.2590,0
0.2290,1,207.6384,0.2560,0
0.2300,1,207.5588,0.2570,0
0.2310,1,207.4791,0.2600,0
0.2320,1,207.3991,0.2620,0
0.2330,1,207.3188,0.2580,0
0.2340,1,207.2382,0.2560,0
0.2350,1,207.1574,0.2580,0
0.2360,1,207.0764,0.2570,0
0.2370,1,206.9950,0.2660,0
0.2380,1,206.9134,0.2680,0
0.2390,1,206.8316,0.2590,0
0.2400,1,206.7495,0.2580,0
0.2410,1,206.6671,0.2570,0
0.2420,1,206.5845,0.2580,0
0.2430,1,206.5016,0.2570,0
0.2440,1,206.4185,0.2540,0
0.2450,1,206.3351,0.2570,0
0.2460,1,206.2514,0.2570,0
0.2470,1,206.1675,0.2570,0
0.2480,1,206.0833,0.2550,0
0.2490,1,205.9988,0.2570,0
0.2500,1,205.9141,0.2580,0
