Time,Step,TCP_Z,P_Err,V_Norm,J1_P,J1_V,J1_A,J2_P,J2_V,J2_A,J3_P,J3_V,J3_A,J4_P,J4_V,J4_A,J5_P,J5_V,J5_A,J6_P,J6_V,J6_A,Kp
0.047,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.048,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.049,UP,0.6515,0.1,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,0,0,0,500
0.05,UP,0.6515,0.0999999,0.00738636,-9.42735e-11,-9.42735e-08,-9.42735e-05,-1.4853e-09,-1.4853e-06,-0.0014853,90,-0.00522251,-5.22251,6.28394e-12,6.28394e-09,6.28394e-06,90,0.00522338,5.22338,-9.42641e-11,-9.42641e-08,-9.42641e-05,500
0.051,UP,0.6515,0.0999998,0.0145872,-2.80453e-10,-1.8618e-07,-9.1906e-05,-4.41816e-09,-2.93286e-06,-0.00144756,90,-0.0103139,-5.09136,1.8694e-11,1.24101e-08,6.12613e-06,90,0.0103156,5.0922,-2.80425e-10,-1.86161e-07,-9.18968e-05,500
0.052,UP,0.6515,0.0999997,0.0216109,-5.56277e-10,-2.75824e-07,-8.96444e-05,-8.76208e-09,-4.34392e-06,-0.00141106,90,-0.0152799,-4.96607,3.70794e-11,1.83854e-08,5.97537e-06,90,0.0152825,4.96689,-5.56221e-10,-2.75796e-07,-8.96354e-05,500
0.053,UP,0.6515,0.0999995,0.0284653,-9.19585e-10,-3.63308e-07,-8.74839e-05,-1.44817e-08,-5.71964e-06,-0.00137572,89.9999,-0.0201263,-4.84638,6.12962e-11,2.42168e-08,5.83136e-06,90.0001,0.0201296,4.84718,-9.19493e-10,-3.63271e-07,-8.74751e-05,500
0.054,UP,0.651501,0.0999993,0.035158,-1.36831e-09,-4.48728e-07,-8.54201e-05,-2.15429e-08,-7.06113e-06,-0.00134149,89.9999,-0.0248584,-4.73205,9.12068e-11,2.99106e-08,5.6938e-06,90.0001,0.0248625,4.73283,-1.36818e-09,-4.48683e-07,-8.54115e-05,500
0.055,UP,0.651501,0.099999,0.0416962,-1.90049e-09,-5.32176e-07,-8.34485e-05,-2.99123e-08,-8.36942e-06,-0.00130829,89.9999,-0.0294812,-4.62283,1.2668e-10,3.5473e-08,5.56238e-06,90.0001,0.0294861,4.62359,-1.9003e-09,-5.32123e-07,-8.34402e-05,500
0.056,UP,0.651501,0.0999986,0.0480868,-2.51423e-09,-6.13742e-07,-8.15652e-05,-3.95578e-08,-9.6455e-06,-0.00127608,89.9999,-0.0339997,-4.5185,1.6759e-10,4.09098e-08,5.43685e-06,90.0001,0.0340053,4.51923,-2.51398e-09,-6.1368e-07,-8.1557e-05,500
0.057,UP,0.651502,0.0999983,0.0543365,-3.20774e-09,-6.93508e-07,-7.97661e-05,-5.04481e-08,-1.08903e-05,-0.00124479,89.9998,-0.0384185,-4.41883,2.13816e-10,4.62267e-08,5.31693e-06,90.0002,0.0384248,4.41955,-3.20742e-09,-6.93438e-07,-7.97581e-05,500
0.058,UP,0.651502,0.0999978,0.0604515,-3.97929e-09,-7.71555e-07,-7.80474e-05,-6.25527e-08,-1.21047e-05,-0.00121436,89.9998,-0.0427422,-4.32362,2.65245e-10,5.14291e-08,5.20237e-06,90.0002,0.0427492,4.32432,-3.9789e-09,-7.71478e-07,-7.80396e-05,500
0.059,UP,0.651503,0.0999974,0.0664379,-4.82725e-09,-8.47961e-07,-7.64057e-05,-7.58421e-08,-1.32894e-05,-0.00118476,89.9997,-0.0469748,-4.23267,3.21768e-10,5.65221e-08,5.09294e-06,90.0003,0.0469825,4.23335,-4.82677e-09,-8.47876e-07,-7.6398e-05,500
0.06,UP,0.651503,0.0999969,0.0723014,-5.75005e-09,-9.22798e-07,-7.48373e-05,-9.02875e-08,-1.44453e-05,-0.00115592,89.9997,-0.0511206,-4.14579,3.83278e-10,6.15105e-08,4.9884e-06,90.0003,0.051129,4.14645,-5.74948e-09,-9.22706e-07,-7.48298e-05,500
0.061,UP,0.651504,0.0999964,0.0780475,-6.74619e-09,-9.96137e-07,-7.33391e-05,-1.05861e-07,-1.55731e-05,-0.00112781,89.9996,-0.0551834,-4.06279,4.49677e-10,6.6399e-08,4.88854e-06,90.0004,0.0551924,4.06343,-6.74551e-09,-9.96037e-07,-7.33317e-05,500
0.062,UP,0.651504,0.0999958,0.0836814,-7.81423e-09,-1.06805e-06,-7.1908e-05,-1.22534e-07,-1.66735e-05,-0.00110038,89.9996,-0.0591669,-3.9835,5.20869e-10,7.11921e-08,4.79315e-06,90.0004,0.0591765,3.98413,-7.81345e-09,-1.06794e-06,-7.19007e-05,500
0.063,UP,0.651505,0.0999952,0.0892083,-8.95282e-09,-1.13859e-06,-7.05408e-05,-1.40281e-07,-1.77471e-05,-0.00107359,89.9995,-0.0630747,-3.90776,5.96763e-10,7.58942e-08,4.70202e-06,90.0005,0.0630849,3.90837,-8.95192e-09,-1.13847e-06,-7.05336e-05,500
0.064,UP,0.651505,0.0999945,0.0946328,-1.01606e-08,-1.20782e-06,-6.92348e-05,-1.59076e-07,-1.87945e-05,-0.0010474,89.9994,-0.0669101,-3.83541,6.77272e-10,8.05091e-08,4.61497e-06,90.0006,0.0669209,3.836,-1.01596e-08,-1.2077e-06,-6.92277e-05,500
0.065,UP,0.651506,0.0999938,0.0999595,-1.14364e-08,-1.27581e-06,-6.79872e-05,-1.78892e-07,-1.98163e-05,-0.00102176,89.9994,-0.0706764,-3.7663,7.62313e-10,8.5041e-08,4.53182e-06,90.0006,0.0706878,3.76687,-1.14353e-08,-1.27568e-06,-6.79802e-05,500
0.066,UP,0.651507,0.0999931,0.105193,-1.27791e-08,-1.3426e-06,-6.67954e-05,-1.99705e-07,-2.08129e-05,-0.000996651,89.9993,-0.0743767,-3.70028,8.51807e-10,8.94933e-08,4.45238e-06,90.0007,0.0743886,3.70083,-1.27778e-08,-1.34247e-06,-6.67886e-05,500
