Time,Step,X,Y,Z,Att_X,Att_Y,Att_Z,Goal_X,Goal_Y,Goal_Z,P_Err,R_Err,Vel_Norm,Reached
0.039000,1,0.078040,0.034500,0.986295,0.084356,0.034500,0.990506,0.227866,0.034500,1.086179,0.180068,0.000000,0.000000,0
0.040000,1,0.078058,0.034500,0.986307,0.084689,0.034500,0.990727,0.227866,0.034500,1.086179,0.180047,0.000000,0.000000,0
0.041000,1,0.078077,0.034500,0.986320,0.085030,0.034500,0.990955,0.227866,0.034500,1.086179,0.180025,0.000000,0.000000,0
0.042000,1,0.078097,0.034500,0.986333,0.085380,0.034500,0.991188,0.227866,0.034500,1.086179,0.180000,0.000000,0.000000,0
0.043000,1,0.078118,0.034500,0.986348,0.085738,0.034500,0.991426,0.227866,0.034500,1.086179,0.179974,0.000000,0.000000,0
0.044000,1,0.078141,0.034500,0.986363,0.086104,0.034500,0.991670,0.227866,0.034500,1.086179,0.179946,0.000000,0.000000,0
0.045000,1,0.078166,0.034500,0.986380,0.086478,0.034500,0.991920,0.227866,0.034500,1.086179,0.179917,0.000000,0.000000,0
0.046000,1,0.078192,0.034500,0.986398,0.086861,0.034500,0.992175,0.227866,0.034500,1.086179,0.179885,0.000000,0.000000,0
0.047000,1,0.078220,0.034500,0.986416,0.087252,0.034500,0.992436,0.227866,0.034500,1.086179,0.179852,0.000000,0.000000,0
0.048000,1,0.078249,0.034500,0.986436,0.087651,0.034500,0.992702,0.227866,0.034500,1.086179,0.179816,0.000000,0.000000,0
0.049000,1,0.078281,0.034500,0.986457,0.088059,0.034500,0.992974,0.227866,0.034500,1.086179,0.179779,0.000000,0.000000,0
0.050000,1,0.078314,0.034500,0.986479,0.088475,0.034500,0.993251,0.227866,0.034500,1.086179,0.179739,0.000000,0.000000,0
0.051000,1,0.078349,0.034500,0.986503,0.088891,0.034500,0.993529,0.227866,0.034500,1.086179,0.179697,0.000000,0.000000,0
0.052000,1,0.078386,0.034500,0.986528,0.089307,0.034500,0.993806,0.227866,0.034500,1.086179,0.179652,0.000000,0.000000,0
0.053000,1,0.078424,0.034500,0.986554,0.089723,0.034500,0.994083,0.227866,0.034500,1.086179,0.179605,0.000000,0.000000,0
0.054000,1,0.078465,0.034500,0.986582,0.090139,0.034500,0.994361,0.227866,0.034500,1.086179,0.179556,0.000000,0.000000,0
0.055000,1,0.078509,0.034500,0.986611,0.090555,0.034500,0.994638,0.227866,0.034500,1.086179,0.179504,0.000000,0.000000,0
0.056000,1,0.078554,0.034500,0.986642,0.090971,0.034500,0.994915,0.227866,0.034500,1.086179,0.179449,0.000000,0.000000,0
0.057000,1,0.078602,0.034500,0.986674,0.091387,0.034500,0.995193,0.227866,0.034500,1.086179,0.179391,0.000000,0.000000,0
0.058000,1,0.078651,0.034500,0.986708,0.091803,0.034500,0.995470,0.227866,0.034500,1.086179,0.179331,0.000000,0.000000,0
0.059000,1,0.078704,0.034500,0.986743,0.092219,0.034500,0.995747,0.227866,0.034500,1.086179,0.179268,0.000000,0.000000,0
0.060000,1,0.078758,0.034500,0.986780,0.092635,0.034500,0.996025,0.227866,0.034500,1.086179,0.179202,0.000000,0.000000,0
0.061000,1,0.078816,0.034500,0.986819,0.093051,0.034500,0.996302,0.227866,0.034500,1.086179,0.179133,0.000000,0.000000,0
0.062000,1,0.078875,0.034500,0.986859,0.093467,0.034500,0.996580,0.227866,0.034500,1.086179,0.179061,0.000000,0.000000,0
0.063000,1,0.078938,0.034500,0.986902,0.093883,0.034500,0.996857,0.227866,0.034500,1.086179,0.178985,0.000000,0.000000,0
0.064000,1,0.079003,0.034500,0.986946,0.094299,0.034500,0.997134,0.227866,0.034500,1.086179,0.178907,0.000000,0.000000,0
0.065000,1,0.079070,0.034500,0.986992,0.094716,0.034500,0.997412,0.227866,0.034500,1.086179,0.178825,0.000000,0.000000,0
0.066000,1,0.079141,0.034500,0.987040,0.095132,0.034500,0.997689,0.227866,0.034500,1.086179,0.178740,0.000000,0.000000,0
0.067000,1,0.079214,0.034500,0.987089,0.095548,0.034500,0.997966,0.227866,0.034500,1.086179,0.178651,0.000000,0.000000,0
0.068000,1,0.079290,0.034500,0.987141,0.095964,0.034500,0.998244,0.227866,0.034500,1.086179,0.178559,0.000000,0.000000,0
0.069000,1,0.079369,0.034500,0.987195,0.096380,0.034500,0.998521,0.227866,0.034500,1.086179,0.178464,0.000000,0.000000,0
